Descripcion,Marca,Compra Total,Ingreso Total,Pendiente,Estado,Fecha,Año
CINTA AISLADORA DOBLE A NEGRO 18 X 10,DOBLE A,60,60.0,0.0,FULL,F. 23-01-25,2025
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 8 MTS,EVEL,15,15.0,0.0,FULL,F. 23-01-25,2025
CINTA METRICA EVEL RETROBLOK - AUTOMATICA 5 MTS,EVEL,15,15.0,0.0,FULL,F. 23-01-25,2025
DIFUSOR Ø 2.4MM WP-17/18/26,FERROLAN,300,300.0,0.0,FULL,F. 23-01-25,2025
MANGUERA INDUSTRIAL (TRASLUCIDO) 12 X 18 MM 50 MTS,TECNOCOM,250,250.0,0.0,FULL,F. 23-01-25,2025
MORDAZA Ø 2.4MM WPM-17/18/26,FERROLAN,200,200.0,0.0,FULL,F. 23-01-25,2025
POLIETILENO NEGRO PREMIUM 3 MTRS X50 MTRS MICR 200 NEGRO,AGROREDES,500,500.0,0.0,FULL,F. 23-01-25,2025
PUNTAS MONTADAS A.1 GRIS,.,100,100.0,0.0,FULL,F. 23-01-25,2025
PUNTAS MONTADAS A.2 GRIS,.,100,100.0,0.0,FULL,F. 23-01-25,2025
PUNTAS MONTADAS A.3 GRIS,.,100,100.0,0.0,FULL,F. 23-01-25,2025
SOPLETE FERROLAN 450,FERROLAN,10,10.0,0.0,FULL,F. 23-01-25,2025
BUSA / BOQUILLA DE CERAMICA Nº 05 10N49,SUMIG,100,100.0,0.0,FULL,F. 23-01-25,2025
BUSA WP/17/18/26 Ø 12.7MM (1/2 # 8,FERROLAN,50,50.0,0.0,FULL,F. 23-01-25,2025
BUSA WP17/18/26 Ø 11MM (7/16 ) # 7,FERROLAN,100,100.0,0.0,FULL,F. 23-01-25,2025
BUSA WP17/18/26 Ø 10MM (3/8 ) # 6,FERROLAN,100,100.0,0.0,FULL,F. 23-01-25,2025
TRAPO STOKINETE 100% ALGODON POR 10KG,TRAPOSLIM,30,30.0,0.0,FULL,F. 23-01-25,2025
"FISCHER - MECHA ACERO RAPIDO HSS DIN 338 F3 9,0 MM",FISCHER,20,20.0,0.0,FULL,F. 23-01-25,2025
"FISCHER - MECHA ACERO RAPIDO HSS DIN 338 F3 10,0 MM",FISCHER,20,20.0,0.0,FULL,F. 23-01-25,2025
"FISCHER - MECHA ACERO RAPIDO HSS DIN 338 F3 11,50 MM",FISCHER,20,20.0,0.0,FULL,F. 23-01-25,2025
MECHA / BROCA A. RAPIDO A114 12.50mm,DORMER,10,10.0,0.0,FULL,F. 23-01-25,2025
MECHA / BROCA A. RAPIDO PUNTA TITANIO A002 12.00MM,DORMER,10,10.0,0.0,FULL,F. 23-01-25,2025
PICOS G1 GLP 16/10 FERROLAN CORTE 50 A 80MM,FERROLAN,15,15.0,0.0,FULL,F. 23-01-25,2025
CEPILLO ACERO 6X19 SIN MANGO 6 HILERAS,FERRETERIA,20,20.0,0.0,FULL,F. 23-01-25,2025
"ELECTRODO KISWELL 7018 - 3,20 MM X KG",KSWELL,4000,4000.0,0.0,FULL,F. 23-01-25,2025
MACHO CAJA ROJA MA 14 X 2.00,BULONFER,2,2.0,0.0,FULL,F. 23-01-25,2025
ABRAZADERA IMP. 14-27MM ,,10,,,,F. 23-01-25,2025
ABRAZADERA IMP. 20-32MM - 3/4,,10,,,,F. 23-01-25,2025
ABRAZADERA IMP. 40-60MM - 3/4,,10,,,,F. 23-01-25,2025
ABRAZADERA IMP. 90-120MM - 3/4,,10,,,,F. 23-01-25,2025
ABRAZADERAS DE 8 A 12” ,,30,,,,F. 23-01-25,2025
CARTUCHO SMARTSYNC 105A CORTE MANUAL POR ARRASTRE (HYPERTHERM),,15,,,,F. 23-01-25,2025
CHISPERO AUTOGENA ZINCADO,,30,,,,F. 23-01-25,2025
CINTA AISLADORA TEMFLEX 165 19MM X 18 MTS NEGRO,,60,,,,F. 23-01-25,2025
CINTA METRICA DOGO 8 MTS,,15,,,,F. 23-01-25,2025
CINTA METRICA EVEL C/FRENO/ENGANCHE 5 MTS,,15,,,,F. 23-01-25,2025
DIFUSOR Ø 2.4MM WP-17/18/26,,300,,,,F. 23-01-25,2025
MANGUERA INDUSTRIAL (TRASLUCIDO) 12 X 18 MM 50 MTS,,5 Rollos,,,,F. 23-01-25,2025
MORDAZA Ø 2.4MM WPM-17/18/26,,200,,,,F. 23-01-25,2025
POLIETILENO NEGRO PREMIUM 3 MTRS X50 MTRS MICR 200 NEGRO,,10,,,,F. 23-01-25,2025
PUNTAS MONTADAS A.1 GRIS,,100,,,,F. 23-01-25,2025
PUNTAS MONTADAS A.2 GRIS,,100,,,,F. 23-01-25,2025
PUNTAS MONTADAS A.3 GRIS,,100,,,,F. 23-01-25,2025
SOPLETE FERROLAN 450,,10,,,,F. 23-01-25,2025
TOBERA CERAMICA GR 5 17/18/26 10N49 TP,,100,,,,F. 23-01-25,2025
TOBERA CERAMICA GR 6 17/18/26 10N48 TP,,100,,,,F. 23-01-25,2025
TOBERA CERAMICA GR 7 17/18/26 10N47 TP,,100,,,,F. 23-01-25,2025
TOBERA CERAMICA GR 8 17/18/26 10N46 TP,,50,,,,F. 23-01-25,2025
TRAPO STOKINETE 100% ALGODÓN POR 10KG,,30 Bolsas,,,,F. 23-01-25,2025
MECHAS A.R. Nº 9,,20,,,,F. 23-01-25,2025
MECHAS A.R. Nº 10,,20,,,,F. 23-01-25,2025
MECHAS A.R. Nº 11,,20,,,,F. 23-01-25,2025
MECHAS A.R. Nº 12,,20,,,,F. 23-01-25,2025
PICO OXICORTE PROPANO 16/10,,15,,,,F. 23-01-25,2025
CEPILLO ACERO MANGO PLASTICO,,20,,,,F. 23-01-25,2025
MACHO MILIMETRICO W 14 x 2,,2,,,,F. 23-01-25,2025
"ELECTRODO CONARCO 18 3,25 MM x 350MM",,4.000 KG,,,,F. 23-01-25,2025
"PATROLL - DISCOS DIAMANTADOS CONTINUO Ø 4.5"" - Ø INTERIOR 22,2 MM",ALIAFOR,5,,5.0,,F. 6-3-2026,2026
"DISCO CONTINUO 7"" - INTERIOR 22,2MM",ALIAFOR,5,,5.0,,F. 6-3-2026,2026
"PATROLL - DISCOS DIAMANTADOS SEGMENTADO Ø 4,5"" - Ø INTERIOR 22,2 MM",ALIAFOR,5,5.0,0.0,FULL,F. 6-3-2026,2026
"DISCO SEGMENTADO 7"" - INTERIOR 22,2MM",ALIAFOR,5,,5.0,,F. 6-3-2026,2026
FPL RIZADO 4 1/2  PULGADAS TUERCA M14 INOX,FPL,300,,300.0,,F. 6-3-2026,2026
ELECTRODO BOHLER 8018-C3 EN 3.2MM,BOHLER,60,,60.0,,F. 6-3-2026,2026
ELECTRODO EASYARC 7018 / 2.60 MM X 350 MM,LINCOLN ELE,1000,470.0,530.0,PARCIAL,F. 6-3-2026,2026
"ELECTRODO KISWELL  7018 -  3,20 MM  X KG",KISWELL,3000,,3000.0,,F. 6-3-2026,2026
"ELECTRODO KISWELL  7018 - 4,00 MM X KG",KISWELL,1000,500.0,500.0,PARCIAL,F. 6-3-2026,2026
"ELECTRODO CONARCO 18 2,50 MM X KG",CONARCO,2000,1200.0,800.0,PARCIAL,F. 6-3-2026,2026
VARILLA LINCOLN® ER80S-NI1 - 3/32 IN (2.4 MM),LINCOLN CON,30,20.0,10.0,PARCIAL,F. 6-3-2026,2026
ACOP 1/4V MACHO/CAB 12.9 MM P/C,FERROLAN,100,15.0,85.0,PARCIAL,F. 6-3-2026,2026
PINZA PORTA ELECT. HELICTOR 600,HELICTOR,30,,30.0,,F. 6-3-2026,2026
PINZA PORTA MASA HELICTOR 600,HELICTOR,30,,30.0,,F. 6-3-2026,2026
TUBO DE CONTACTO M8X30MM DIAM 0.9,FERROLAN,10,,10.0,,F. 6-3-2026,2026
CRISTAL INCOLORO RECTAN.105X50,BULONFER,6000,3000.0,3000.0,PARCIAL,F. 6-3-2026,2026
"DISCO ""FENOBOND"" 178X22   36",DOBLE A - LIJ,3000,3000.0,0.0,FULL,F. 6-3-2026,2026
"DISCO DE CORTE STD FOR INOX 115X1,6MM",BOSCH,3000,3000.0,0.0,FULL,F. 6-3-2026,2026
"DISCO CORTE PLANO BNA 12 177,8X1,6X22,2",NORTON,3000,,3000.0,,F. 6-3-2026,2026
FLAP PLANO-FIBRA   180MM-G  40,BULONFER,500,,500.0,,F. 6-3-2026,2026
BIALCOHOL 70% DESINFECCION BIDON X 5 LTS,PORTA,120,120.0,0.0,FULL,F. 6-3-2026,2026
BUSA WP/17/18/26 Ø 12.7MM (1/2 # 8,FERROLAN,100,,100.0,,F. 6-3-2026,2026
BUSA WP17/18/26 Ø 11MM (7/16 ) # 7,FERROLAN,200,,200.0,,F. 6-3-2026,2026
BUSA WP17/18/26 Ø 10MM (3/8 ) # 6,FERROLAN,200,,200.0,,F. 6-3-2026,2026
POLIETILENO NEGRO PREMIUM 3 X 50 MT  MICR 200 NEGRO,AGROREDES,1500,950.0,550.0,PARCIAL,F. 6-3-2026,2026
FILM STRETCH 50 CM X 350 MT NEGRO,BIOBEN,100,100.0,0.0,FULL,F. 6-3-2026,2026
TENAZA BIASSONI ARMADOR 1/2 CORTE  12,BIASSONI,30,,30.0,,F. 6-3-2026,2026
MARTILLO GARDEX CABO FIBRA 400GR BOLITA,FERRETERIA,20,4.0,16.0,PARCIAL,F. 6-3-2026,2026
MARTILLO GALPONERO - 27 MM - MANGO DE FIBRA,BIASSONI,30,,30.0,,F. 6-3-2026,2026
"KIT DE REPUESTOS 5-6-8-XL-10""  (RESORTE, PERNO, CHAVETA Y ARANDELA)",BARBERO,15,,15.0,,F. 6-3-2026,2026
TORNILLO COMPLETO LAMINADO N° 8,BARBERO,15,,15.0,,F. 6-3-2026,2026
JUEGO MORDAZAS MORSA NRO 8 - XL,BARBERO,15,,15.0,,F. 6-3-2026,2026
TUERCA MORSA N° 5-6-8- XL,BARBERO,15,,15.0,,F. 6-3-2026,2026
SILICONA ACETICA CONSTRUCCION 270ML / 256GR TTE,TEKBOND,12,,12.0,,F. 6-3-2026,2026
CINTA 903 48 X 40,DOBLE A - CIN,1000,,1000.0,,F. 6-3-2026,2026
CINTA TRANSPARENTE C292 48 X 40,DOBLE A - CIN,1000,,1000.0,,F. 6-3-2026,2026
AEROSOL SMART PAINT AA NEGRO BRILLANTE  350ML/250G,DOBLE A - AE,72,,72.0,,F. 6-3-2026,2026
AEROSOL SMART PAINT AA BLANCO MATE 350ML/250G,DOBLE A - AE,72,,72.0,,F. 6-3-2026,2026
AEROSOL SMART PAINT AA ROJO  350 ML/250G,DOBLE A - AE,72,,72.0,,F. 6-3-2026,2026
AEROSOL SMART PAINT AA AMARILLO  350ML/250G,DOBLE A - AE,72,,72.0,,F. 6-3-2026,2026
AEROSOL SMART PAINT AA AZUL  350 ML/250G,DOBLE A - AE,72,,72.0,,F. 6-3-2026,2026
AEROSOL SMART PAINT AA VERDE  350 ML/250G,DOBLE A - AE,72,,72.0,,F. 6-3-2026,2026
RICHI - FICHA DOMIC 2X10A+T MACHO,RICHI,20,20.0,0.0,FULL,F. 6-3-2026,2026
FICHA MOVIL 2P+T 16A 230V IP44,CONEXTUBE,100,,100.0,,F. 6-3-2026,2026
ESTAÑO LINE - ROLLO DE 1.5MTS -40%,FERRETERIA,20,20.0,0.0,FULL,F. 6-3-2026,2026
TRAPO STOKINETE 100% ALGODON POR 10KG,TRAPOSLIMP,50,50.0,0.0,FULL,F. 6-3-2026,2026
"DRIVER LED, DC 32-39V 60W 1400MA, ENTRADA: AC100-240V",DEMASLED,30,1.0,29.0,PARCIAL,F. 6-3-2026,2026
CINTA AISLADORA DOBLE A CELESTE 18 X 10,DOBLE A - CIN,300,25.0,275.0,PARCIAL,F. 6-3-2026,2026
CINTA AISLADORA DOBLE A VERDE 18 X 10,DOBLE A - CIN,300,,300.0,,F. 6-3-2026,2026
CINTA PVC TACSA AISLANTE 20 MT. AMARILLA,FERRETERIA,300,10.0,290.0,PARCIAL,F. 6-3-2026,2026
CANDADO DE BRONCE CR-50 DOBLE TRABA PAPAIZ,PROTEC,15,,15.0,,F. 6-3-2026,2026
HOJA SIERRA SIN-PAR BIMETALICA 24 D,SIN-PAR,200,200.0,0.0,FULL,F. 6-3-2026,2026
"NIVEL DE ALUMINIO - I-BEAN - 12""",BIASSONI,20,,20.0,,F. 6-3-2026,2026
"NIVEL DE ALUMINIO - I-BEAN - 18""",BIASSONI,20,19.0,1.0,PARCIAL,F. 6-3-2026,2026
ESCUADRA CON SOMBRERO BREMEN® 300X200MM DIN 875/1,BREMEN,10,5.0,5.0,PARCIAL,F. 6-3-2026,2026
HILO ENTIZADO (CHOCLA) 30MTS CON 100GS DE TIZA,FERRETERIA,20,20.0,0.0,FULL,F. 6-3-2026,2026
FERRITE COLORANTE ROJO 114 X 1 KG,PIGMENTOS P,5,,5.0,,F. 6-3-2026,2026
FERRITE AZUL X 1KG,DIPROEL,5,5.0,0.0,FULL,F. 6-3-2026,2026
"LIMA BREMEN® REDONDA BASTARDA 12"" C/CABO Y BLISTER",BREMEN,15,13.0,2.0,PARCIAL,F. 6-3-2026,2026
LA GOTITA® PROFESIONAL 10ML,CAMPI,10,10.0,0.0,FULL,F. 6-3-2026,2026
"BROCA ESCALONADA HSS 13 ESCALONES 6-30MM (LARGO COMPLETO 93,5MM)",BOSCH,2,,2.0,,F. 6-3-2026,2026
MECHA / BROCA  A. RAPIDO  A114 4.00MM,DORMER,10,,10.0,,F. 6-3-2026,2026
MECHA / BROCA  A. RAPIDO  A114 6.00MM,DORMER,10,,10.0,,F. 6-3-2026,2026
MECHA / BROCA  A. RAPIDO  A114 8.00MM,DORMER,10,,10.0,,F. 6-3-2026,2026
MECHA / BROCA  A. RAPIDO  A114 10.00MM,DORMER,10,,10.0,,F. 6-3-2026,2026
MECHA / BROCA  A. RAPIDO  A114 12.00MM,DORMER,10,,10.0,,F. 6-3-2026,2026
MANGO PARA PROPANO,ALCARDUPLE,10,10.0,0.0,FULL,F. 6-3-2026,2026
CAÑO ADAP. QUEMADOR 650MM,ALCARDUPLE,10,10.0,0.0,FULL,F. 6-3-2026,2026
QUEMADOR Nº 6 (61MM),ALCARDUPLE,10,10.0,0.0,FULL,F. 6-3-2026,2026
"ALAMBRE TUBULAR LINCOLN E71T-1C EN 1,2M (X ROLLO DE 15KG)",LINCOLN EQU,50,,50.0,,F. 6-3-2026,2026
"ALAMBRE DUAL SHIELD 7100 LH 1,2 MM 16 KG",CONARCO,50,,50.0,,F. 6-3-2026,2026
HANDY BAOFENG VT-C2 X PAR,BAOFENG,1,,1.0,,F. 6-3-2026,2026
CANDADO HIERRO CASTLE 40MM DOBLE TRABA,CASTLE,40,,40.0,,F. 6-3-2026,2026
MANGUERA INDUSTRIAL (TRASLUCIDO) 12 X 15 MM 50 MTS,TECNOCOM,500,,500.0,,F. 6-3-2026,2026
SOGA TRENZADA 10 MM X METRO,NAVEGANTE,500,,500.0,,F. 6-3-2026,2026
SOGA TRENZADA 12 MM X METRO,NAVEGANTE,500,,500.0,,F. 6-3-2026,2026
LLAVE PARA CAÑOS HEAVY DUTY,BAHCO,5,,5.0,,F. 6-3-2026,2026
"LLAVE PARA CAÑOS, LARGO 555 MM, PARA CAÑOS HASTA  2.1/2"", NACIONAL",BAHCO,5,,5.0,,F. 6-3-2026,2026
SET REPUESTOS BIDONES DRIVEN,DRIVEN,20,,20.0,,F. 6-3-2026,2026
BIDON DE COMBUSTIBLE PROFESIONAL 20 LTS (ROJO) BP20-R,DOGO,10,,10.0,,F. 6-3-2026,2026
RUEDA NEUMATICA 3.25 MM BUJES 1/2-5/8-1 CARRETILLA,FERRETERIA,20,,20.0,,F. 6-3-2026,2026
RUEDA MACIZA DE CARRETILLA 380 X 90,MECANOBRA,20,,20.0,,F. 6-3-2026,2026
ESCUADRA CON SOMBRERO BREMEN® 150X100MM DIN 875/1,BREMEN,10,10.0,0.0,FULL,F. 6-3-2026,2026
PILA ENERGIZER MAX  AAA BLX4 E92 MAX,ENERGIZER,100,14.0,86.0,PARCIAL,F. 6-3-2026,2026
SELLADOR MS HIBRIDO BLANCO CARTUCHO 250ML/400GRS,TEKBOND,12,12.0,0.0,FULL,F. 6-3-2026,2026
MECHA / BROCA  A. RAPIDO PUNTA TITANIO A002 16.00MM,DORMER,10,,10.0,,F. 6-3-2026,2026
